=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.01.21 16:12:31 =~=~=~=~=~=~=~=~=~=~=~=,,,
Attach sensor to finger with rubber band. Press any key to start conversion,,,
Temperature(C)=25.5000, Temperature(F)=89.4500, HR=93, SPO2=99
Temperature(C)=25.6875, Temperature(F)=88.7750, HR=93, SPO2=99
Temperature(C)=25.5625, Temperature(F)=90.0125, HR=93, SPO2=99
Temperature(C)=25.2500, Temperature(F)=89.2250, HR=93, SPO2=99
Temperature(C)=25.4375, Temperature(F)=90.0125, HR=93, SPO2=99
Temperature(C)=25.3750, Temperature(F)=89.3375, HR=93, SPO2=99
Temperature(C)=25.6250, Temperature(F)=90.1250, HR=93, SPO2=99
Temperature(C)=25.1875, Temperature(F)=88.6625, HR=93, SPO2=99
Temperature(C)=25.5625, Temperature(F)=88.5500, HR=93, SPO2=99
Temperature(C)=25.3750, Temperature(F)=88.4375, HR=93, SPO2=99
Temperature(C)=25.4375, Temperature(F)=88.8875, HR=93, SPO2=99
Temperature(C)=25.1250, Temperature(F)=88.4375, HR=93, SPO2=99
Temperature(C)=25.4375, Temperature(F)=88.6625, HR=93, SPO2=99
Temperature(C)=25.0625, Temperature(F)=88.3250, HR=93, SPO2=99
Temperature(C)=24.9375, Temperature(F)=88.8875, HR=93, SPO2=99
Temperature(C)=25.1875, Temperature(F)=88.4375, HR=93, SPO2=99
Temperature(C)=25.3750, Temperature(F)=88.2125, HR=93, SPO2=99
Temperature(C)=25.0000, Temperature(F)=98.7750, HR=93, SPO2=99
T,,,
